sentence,term_1,term_2,id,task_id,paragraph_id,sentence_id,type_1,type_2,base_term_1,base_term_2
A good example of distress is severe test anxiety.,distress,anxiety,242,40,9,23,event,entity,distress,anxiety
"A useful way to conceptualize stress is to view it as a process whereby an individual perceives and responds to events that he appraises as overwhelming or threatening to his well-being (Lazarus & Folkman, 1984).",stress,well-being,214,12,4,8,event,entity,stress,well be
"As we shall discuss later, prolonged or repeated stress has been implicated in development of a number of disorders such as hypertension and coronary artery disease.",stress,disease,310,108,21,48,event,entity,stress,disease
"As you may recall from what you learned about self-efficacy, an individual's belief in his ability to complete a task is important (Bandura, 1994).",belief,self-efficacy,223,21,5,12,entity,entity,belief,self efficacy
"During the fight-or-flight response, the body is rapidly aroused by activation of both the sympathetic nervous system and the endocrine system (Figure 14.8).",endocrine system,sympathetic nervous system,275,73,15,33,entity,entity,endocrine system,sympathetic nervous system
"He argued that stress can sometimes be a positive, motivating force that can improve the quality of our lives.",motivating force,stress,231,29,8,16,event,event,motivate force,stress
"If exposure to a stressor continues over a longer period of time, the stage of exhaustion ensues.",exposure,exhaustion,298,96,20,43,event,entity,exposure,exhaustion
"In response to stress, the hypothalamus (one of the limbic structures in the brain) releases corticotrophin-releasing factor, a hormone that causes the pituitary gland to release adrenocorticotropic hormone (ACTH) (Figure 14.11).",limbic structures,hypothalamus,332,130,22,53,entity,entity,limbic structure,hypothalamus
"Many of the physiological reactions that occur when faced with demanding situations (e.g., accelerated heart rate) can also occur in response to things that most people would not consider to be genuinely stressful, such as receiving unanticipated good news: an unexpected promotion or raise.",physiological reactions,heart rate,213,11,3,7,event,entity,physiological reaction,heart rate
"Others have conceptualized stress in ways that emphasize the physiological responses that occur when faced with demanding or threatening situations (e.g., increased arousal).",stress,physiological responses,209,7,3,3,event,event,stress,physiological response
"Release of these hormones activates the fight-or-flight responses to stress, such as accelerated heart rate and respiration.",stress,fight-or-flight responses,320,118,22,51,event,event,stress,fight or flight response
Such conceptualizations are known as stimulus-based definitions because they characterize stress as a stimulus that causes certain reactions.,reactions,stress,205,3,2,2,event,event,reaction,stress
"The physiological mechanisms of stress are extremely complex, but they generally involve the work of two systems - the sympathetic nervous system and the hypothalamic-pituitary-adrenal (HPA) axis.",stress,sympathetic nervous system,313,111,22,49,event,entity,stress,sympathetic nervous system
"The scientific study of how stress and other psychological factors impact health falls within the realm of health psychology, a subfield of psychology devoted to understanding the importance of psychological influences on health, illness, and how people respond when they become ill (Taylor, 1999).",psychological influences,health psychology,250,48,12,27,event,entity,psychological influence,health psychology
"What Selye discovered was the general adaptation syndrome, the body's nonspecific physiological response to stress.",stress,general adaptation syndrome,287,85,17,38,event,event,stress,general adaptation syndrome
